Comment,Designator,Footprint,LCSC
10uF,"C12,C13,C14",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
100nF,"C2,C5",Capacitor_SMD:C_0805_2012Metric,C28233
47pF,C4,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C113890
100nF,C6,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
100uF,"C7,C9,C10,C11",Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,C16133
10nF,C8,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710
ES2F,D1,Diode_SMD:D_SMB,C145321
SS34,D2,Diode_SMD:D_SMA_Handsoldering,C8678
~,Q1,Package_TO_SOT_SMD:TO-263-2,C39238
1.18M,R1,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C422598
0.05,R2,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C149662
10K,"R3,R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17828
3.24K,R5,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C245320
MAX1771ESA,U1,Package_SO:SO-8_3.9x4.9mm_P1.27mm,C407903
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
TPS5430DDA,U3,Package_SO:TI_SO-PowerPAD-8_ThermalVias,C9864
